

gen best mean std
0 21.977035 -3.641961 5.57319
1 22.257196 -1.661358 7.388838
2 22.257196 -0.232477 8.127604
3 22.257196 1.184625 8.520657
4 22.257196 3.552484 8.541889
5 22.257196 6.199656 7.955001
6 22.257196 7.283746 8.032982
7 33.112384 10.254275 8.688757
8 33.112384 12.34411 8.448567
9 33.112384 14.129662 8.888768
10 33.112384 15.973988 9.605655
11 33.112384 19.215611 8.156392
12 42.364562 17.999037 10.235176
13 42.364562 19.575981 10.183563
14 42.364562 21.242915 10.033484
15 42.364562 21.620993 10.668849
16 42.364562 22.385141 10.32001
17 42.364562 21.162664 11.983302
18 43.359149 23.662509 10.592586
19 51.143084 23.346123 11.350801
