

gen best mean std
0 16.717146 -4.118486 5.013933
1 16.717146 -1.834634 6.410127
2 20.04104 1.267265 8.098927
3 30.02958 5.620218 10.198097
4 30.02958 8.662186 9.689806
5 37.906847 9.082192 9.261284
6 37.906847 12.638809 9.301643
7 37.906847 12.336733 9.986075
8 44.386557 13.43151 12.337076
9 44.386557 16.27132 11.245016
10 44.386557 18.184876 12.064399
11 44.386557 19.151834 11.903424
12 44.386557 19.375593 12.03613
13 44.386557 18.778475 13.080677
14 44.772166 19.619617 12.564647
15 44.772166 19.292188 13.448068
16 44.772166 19.096272 13.767376
17 44.772166 22.546317 12.51917
18 44.772166 23.425592 12.952113
19 51.01564 23.575849 13.503046
