

gen best mean std
0 28.958461 -3.584449 6.645912
1 28.958461 -0.318113 8.714483
2 28.958461 2.193142 8.917256
3 28.958461 5.45668 9.396239
4 37.868512 9.802055 8.724859
5 37.868512 12.342185 9.390509
6 44.681695 12.779515 11.075676
7 44.681695 15.097528 11.107698
8 44.681695 15.655491 11.633995
9 44.681695 17.053748 11.928089
10 44.681695 20.503386 11.739551
11 44.681695 20.851406 12.143748
12 44.681695 19.969439 13.916564
13 44.681695 20.990338 13.236968
14 44.681695 21.074912 12.524748
15 44.681695 20.705664 13.447652
16 44.681695 19.948032 13.754518
17 44.681695 19.900069 12.624274
18 60.73717 23.214158 14.296311
19 60.73717 24.034693 14.251797
