

gen best mean std
0 22.206043 -4.123037 5.117043
1 22.206043 -0.889712 7.301596
2 26.833256 2.956325 9.589837
3 27.390785 5.026706 9.446459
4 27.390785 8.078404 9.040857
5 27.390785 10.921029 8.94856
6 27.390785 12.24762 8.042996
7 27.390785 14.268311 7.331552
8 41.711685 17.19404 9.913613
9 46.606376 17.231201 10.356164
10 46.606376 17.437787 10.870034
11 46.606376 17.317656 10.375853
12 46.606376 20.760956 10.305517
13 46.606376 21.258981 11.394712
14 46.606376 20.844309 12.562008
15 46.606376 24.357128 11.32311
16 46.606376 24.917885 13.469663
17 46.606376 25.402311 14.162536
18 46.606376 26.888964 13.221668
19 46.606376 26.925356 13.301841
