

gen best mean std
0 20.359173 -2.186893 6.306857
1 26.951587 1.326802 8.675047
2 26.951587 5.561962 8.794573
3 31.473433 8.499386 9.50371
4 31.473433 11.076324 8.64891
5 37.984914 12.874885 10.053181
6 37.984914 15.788949 9.757881
7 37.984914 17.747522 10.301099
8 37.984914 20.290295 11.068345
9 37.984914 18.518279 11.259552
10 37.984914 17.404751 11.915361
11 37.984914 19.915175 10.564588
12 37.984914 18.884216 10.946588
13 38.091085 20.618515 11.471127
14 38.091085 22.445382 11.061928
15 45.505576 20.427716 12.575447
16 45.505576 22.015276 11.265713
17 45.505576 21.981146 11.743096
18 45.505576 22.326061 12.010885
19 45.505576 20.825931 11.870818
