

gen best mean std
0 -0.410486 -5.085249 1.801802
1 7.489398 -3.368689 4.42457
2 19.035339 -1.510751 7.675131
3 15.200077 -1.50765 7.253681
4 15.200077 -1.350299 6.518135
5 18.795285 -1.482948 6.307525
6 19.308822 0.61702 7.796425
7 40.04206 3.880466 11.475819
8 27.053376 2.716773 9.337894
9 28.007219 5.299664 9.2555
